symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
M&M,2026-03-30,3041.30,2980.00,3023.70,2945.00,2963.90,2954.70,2969.19,5416854,185688
M&M,2026-03-27,3128.10,3100.00,3105.20,3030.00,3044.00,3041.30,3055.94,3155168,177241
M&M,2026-03-25,3031.30,3099.90,3157.90,3082.90,3125.10,3128.10,3130.00,3328790,187482
M&M,2026-03-24,2955.80,3030.00,3057.30,2965.90,3041.00,3031.30,3016.20,3944279,194144
M&M,2026-03-23,3066.10,3015.10,3019.70,2935.00,2948.50,2955.80,2966.98,3978740,235232
M&M,2026-03-20,3045.40,3059.20,3106.60,3043.20,3075.00,3066.10,3069.55,4471960,244968
M&M,2026-03-19,3214.60,3136.30,3147.90,3032.60,3059.80,3045.40,3090.07,3059501,231121
M&M,2026-03-18,3128.90,3140.10,3236.20,3140.10,3212.10,3214.60,3207.59,3746758,193567
M&M,2026-03-17,3036.10,3052.00,3139.30,3024.50,3122.50,3128.90,3109.43,3491894,196398
M&M,2026-03-16,2931.10,2902.00,3043.70,2896.00,3029.00,3036.10,2982.46,5378638,278271
M&M,2026-03-13,3031.20,2965.00,3025.00,2922.60,2940.00,2931.10,2971.75,7217643,268935
M&M,2026-03-12,3168.20,3115.10,3142.80,3020.00,3029.10,3031.20,3056.55,6968585,280715
M&M,2026-03-11,3293.70,3276.00,3292.90,3156.00,3178.00,3168.20,3206.85,4574950,270477
M&M,2026-03-10,3187.60,3278.00,3309.40,3228.90,3296.00,3293.70,3264.88,2672336,150638
M&M,2026-03-09,3332.50,3250.00,3250.00,3142.90,3184.50,3187.60,3177.41,3961149,208741
M&M,2026-03-06,3348.00,3315.00,3367.00,3315.00,3333.00,3332.50,3342.41,2084605,127319
M&M,2026-03-05,3264.30,3277.30,3360.60,3276.20,3350.00,3348.00,3316.67,2304760,176362
M&M,2026-03-04,3334.30,3240.00,3278.10,3207.90,3269.50,3264.30,3246.91,4537215,290136
M&M,2026-03-02,3397.40,3299.90,3374.90,3283.00,3324.80,3334.30,3322.56,2997529,216425
M&M,2026-02-27,3484.60,3460.00,3488.10,3381.10,3402.60,3397.40,3416.42,3765500,185856
M&M,2026-02-26,3491.30,3505.00,3507.00,3461.60,3480.00,3484.60,3483.27,1998012,180268
M&M,2026-02-25,3433.20,3435.00,3500.90,3425.40,3480.00,3491.30,3477.69,2273269,113036
M&M,2026-02-24,3447.10,3415.00,3441.00,3390.00,3440.00,3433.20,3422.67,1929400,97515
M&M,2026-02-23,3412.80,3425.00,3457.60,3416.90,3435.00,3447.10,3444.91,1789276,130536
M&M,2026-02-20,3431.80,3443.00,3449.90,3402.50,3417.00,3412.80,3418.30,2260853,143949
M&M,2026-02-19,3530.50,3534.90,3546.50,3421.30,3427.00,3431.80,3465.40,2479531,117566
M&M,2026-02-18,3489.20,3491.10,3545.00,3483.20,3543.00,3530.50,3505.07,1682427,61192
M&M,2026-02-17,3509.70,3509.70,3515.80,3462.00,3488.40,3489.20,3480.16,1991583,80133
M&M,2026-02-16,3533.40,3535.00,3549.50,3469.00,3506.30,3509.70,3504.87,1562001,89136
M&M,2026-02-13,3593.10,3530.00,3596.50,3520.30,3533.00,3533.40,3556.03,1632115,127136
M&M,2026-02-12,3674.90,3698.20,3699.00,3582.20,3590.00,3593.10,3619.03,2554236,147214
M&M,2026-02-11,3675.80,3704.70,3787.00,3666.10,3675.00,3674.90,3716.83,4787745,231155
M&M,2026-02-10,3609.60,3616.30,3699.00,3601.00,3677.00,3675.80,3664.62,1917432,126715
M&M,2026-02-09,3578.00,3593.80,3619.10,3557.10,3616.00,3609.60,3602.61,1294690,79678
M&M,2026-02-06,3572.00,3577.00,3590.00,3530.60,3580.00,3578.00,3564.62,1462031,84850
M&M,2026-02-05,3574.00,3592.00,3598.80,3528.10,3575.00,3572.00,3566.77,1251428,108408
M&M,2026-02-04,3527.90,3549.00,3620.00,3519.10,3574.90,3574.00,3583.82,2395062,174320
M&M,2026-02-03,3463.20,3638.00,3643.80,3513.00,3530.00,3527.90,3559.47,5492214,240793
M&M,2026-02-02,3363.80,3355.00,3472.10,3343.70,3455.00,3463.20,3412.69,2950641,163507
M&M,2026-02-01,3431.80,3444.30,3525.00,3343.00,3362.00,3363.80,3436.11,1608594,82282
M&M,2026-01-30,3384.40,3283.00,3452.40,3282.80,3444.30,3431.80,3394.56,5291090,189473
M&M,2026-01-29,3449.20,3449.20,3479.60,3321.00,3388.10,3384.40,3364.46,5592638,196343
M&M,2026-01-28,3393.50,3379.00,3456.90,3376.00,3450.30,3449.20,3422.39,3964878,174289
M&M,2026-01-27,3543.40,3437.20,3497.70,3344.10,3392.90,3393.50,3396.79,7139715,345827
M&M,2026-01-23,3573.70,3573.70,3596.00,3534.80,3555.00,3543.40,3561.01,1922549,97459
M&M,2026-01-22,3553.30,3600.00,3620.00,3533.40,3578.00,3573.70,3566.97,2107171,104976
M&M,2026-01-21,3557.50,3543.00,3586.70,3517.10,3560.00,3553.30,3552.50,1587467,135680
M&M,2026-01-20,3657.40,3646.00,3677.50,3540.00,3557.50,3557.50,3598.28,1753439,132221
M&M,2026-01-19,3658.20,3689.00,3689.00,3614.00,3662.90,3657.40,3649.89,1715818,108381
M&M,2026-01-16,3649.50,3650.10,3729.90,3650.10,3660.00,3658.20,3689.08,2089943,136506
M&M,2026-01-14,3661.50,3663.00,3682.00,3635.10,3646.50,3649.50,3655.07,1573135,132116
M&M,2026-01-13,3682.00,3717.00,3717.00,3631.50,3658.00,3661.50,3654.66,1700985,102955
M&M,2026-01-12,3677.30,3675.30,3717.00,3598.80,3685.00,3682.00,3656.44,1665237,97831
M&M,2026-01-09,3724.00,3712.10,3748.50,3667.10,3679.00,3677.30,3696.91,1235928,80815
M&M,2026-01-08,3748.80,3730.00,3756.80,3693.20,3715.00,3724.00,3725.81,1261005,90546
M&M,2026-01-07,3785.60,3800.00,3808.60,3718.50,3755.00,3748.80,3754.25,1046776,88136
M&M,2026-01-06,3790.30,3788.00,3819.10,3758.10,3787.00,3785.60,3776.88,1299489,74634
M&M,2026-01-05,3802.40,3805.90,3839.90,3785.00,3790.00,3790.30,3809.25,1574098,99676
M&M,2026-01-02,3761.00,3759.90,3812.00,3743.20,3801.00,3802.40,3797.33,1478292,119277
M&M,2026-01-01,3709.20,3725.00,3774.00,3721.10,3755.00,3761.00,3756.90,1498161,95505
M&M,2025-12-31,3660.30,3653.00,3723.60,3640.40,3716.00,3709.20,3684.25,1868363,105249
M&M,2025-12-30,3592.10,3590.00,3666.00,3575.20,3660.00,3660.30,3646.84,2063179,123302
M&M,2025-12-29,3623.10,3622.70,3640.20,3588.10,3595.00,3592.10,3614.18,1034692,59021
M&M,2025-12-26,3636.70,3636.70,3647.00,3614.60,3627.00,3623.10,3626.77,829910,38529
M&M,2025-12-24,3625.10,3624.60,3658.00,3612.10,3636.10,3636.70,3640.27,842897,53785
M&M,2025-12-23,3616.70,3619.20,3637.50,3605.00,3622.00,3625.10,3621.54,1413628,95084
M&M,2025-12-22,3603.60,3600.00,3625.00,3576.90,3612.50,3616.70,3606.92,1400786,108908
M&M,2025-12-19,3586.60,3571.00,3615.00,3560.00,3605.00,3603.60,3598.04,1647819,93791
M&M,2025-12-18,3612.80,3600.00,3611.90,3540.10,3585.00,3586.60,3568.76,2446168,142491
M&M,2025-12-17,3621.00,3647.90,3647.90,3594.00,3612.50,3612.80,3612.94,1209367,103978
M&M,2025-12-16,3608.00,3581.00,3633.50,3577.90,3628.90,3621.00,3617.75,1394406,108047
M&M,2025-12-15,3679.60,3632.00,3665.40,3603.60,3609.70,3608.00,3619.21,1704069,152694
M&M,2025-12-12,3665.20,3665.40,3695.00,3661.30,3679.10,3679.60,3679.41,1078982,88836
