symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trade
RELIANCE,2026-03-30,1348.10,1335.00,1365.00,1334.10,1348.30,1343.90,1347.25,24393861,426526
RELIANCE,2026-03-27,1413.10,1401.00,1404.70,1345.00,1348.00,1348.10,1359.97,23266517,546051
RELIANCE,2026-03-25,1411.80,1420.00,1430.50,1408.40,1413.80,1413.10,1418.75,19041331,313024
RELIANCE,2026-03-24,1407.80,1420.00,1422.40,1406.60,1414.00,1411.80,1413.20,18620893,304313
RELIANCE,2026-03-23,1414.40,1400.00,1415.60,1391.00,1404.00,1407.80,1404.46,18979554,385355
RELIANCE,2026-03-20,1384.80,1398.00,1430.00,1396.10,1413.60,1414.40,1418.94,22994918,315139
RELIANCE,2026-03-19,1408.10,1388.00,1415.70,1376.10,1392.00,1384.80,1394.72,16498373,305792
RELIANCE,2026-03-18,1397.60,1397.20,1412.90,1397.20,1407.20,1408.10,1408.59,9559327,212371
RELIANCE,2026-03-17,1395.10,1399.00,1405.90,1388.20,1394.80,1397.60,1398.21,19007744,273340
RELIANCE,2026-03-16,1380.70,1380.00,1397.30,1363.50,1394.00,1395.10,1384.52,22837802,293132
RELIANCE,2026-03-13,1392.20,1385.20,1400.80,1378.40,1382.10,1380.70,1388.25,17265090,315335
RELIANCE,2026-03-12,1390.20,1390.00,1410.90,1381.10,1390.00,1392.20,1397.56,20939959,370385
RELIANCE,2026-03-11,1408.80,1424.90,1434.00,1383.60,1386.80,1390.20,1402.95,21848087,358595
RELIANCE,2026-03-10,1424.00,1430.60,1431.50,1400.60,1410.90,1408.80,1410.92,18071259,266712
RELIANCE,2026-03-09,1404.80,1375.00,1429.40,1370.00,1418.60,1424.00,1404.08,24870822,363998
RELIANCE,2026-03-06,1389.40,1396.50,1424.30,1390.30,1407.00,1404.80,1412.87,19311971,291792
RELIANCE,2026-03-05,1345.00,1353.10,1399.00,1353.10,1386.40,1389.40,1383.03,25957532,339169
RELIANCE,2026-03-04,1358.00,1330.00,1352.80,1307.00,1345.20,1345.00,1334.60,32495007,643399
