symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volumes,no_of_trades
TATAPOWER,2026-03-30,385.70,381.00,388.75,377.95,378.80,378.75,381.41,9446563,123227
TATAPOWER,2026-03-27,390.70,390.00,391.55,384.60,385.00,385.70,387.61,9994317,126297
TATAPOWER,2026-03-25,384.75,388.00,395.00,387.05,390.45,390.70,391.52,6900597,77390
TATAPOWER,2026-03-24,386.95,395.00,395.00,383.80,385.00,384.75,387.63,9726871,92007
TATAPOWER,2026-03-23,402.40,402.70,403.30,373.00,382.90,386.95,390.07,15173788,161102
TATAPOWER,2026-03-20,398.50,402.00,418.45,401.00,402.60,402.40,410.04,25154921,231338
TATAPOWER,2026-03-19,400.35,397.50,404.40,393.05,399.00,398.50,400.23,8123743,87846
TATAPOWER,2026-03-18,400.85,402.50,405.50,398.25,399.90,400.35,401.79,7348301,87866
TATAPOWER,2026-03-17,390.55,391.00,402.30,391.00,400.55,400.85,399.22,12085084,112967
TATAPOWER,2026-03-16,394.95,395.55,398.90,385.00,390.40,390.55,390.69,8028549,81211
TATAPOWER,2026-03-13,402.15,402.15,406.05,393.45,394.50,394.95,398.73,9072187,90637
TATAPOWER,2026-03-12,385.75,384.00,407.35,383.45,401.95,402.15,399.63,25007929,204669
TATAPOWER,2026-03-11,381.30,383.00,392.50,382.35,384.65,385.75,388.11,9679700,109890
TATAPOWER,2026-03-10,372.90,375.90,384.15,375.90,380.55,381.30,380.85,7675259,71818
TATAPOWER,2026-03-09,375.50,366.50,374.20,365.15,373.90,372.90,370.11,5063475,55403
TATAPOWER,2026-03-06,376.85,375.00,385.25,373.10,375.60,375.50,379.85,3748549,44315
TATAPOWER,2026-03-05,365.85,366.25,378.50,366.25,376.80,376.85,374.76,5981063,64650
TATAPOWER,2026-03-04,368.35,362.30,369.90,362.10,364.65,365.85,365.76,5707031,73287
TATAPOWER,2026-03-02,377.55,356.00,373.95,356.00,368.15,368.35,368.10,5645823,74085
TATAPOWER,2026-02-27,380.40,380.40,381.50,376.25,376.60,377.55,378.17,3197689,40560
TATAPOWER,2026-02-26,381.25,380.80,385.40,378.25,380.00,380.40,381.24,3190045,39414
TATAPOWER,2026-02-25,379.75,380.00,383.65,376.50,380.40,381.25,379.92,3122278,36413
TATAPOWER,2026-02-24,379.25,377.00,380.45,372.50,380.00,379.75,377.07,3005896,37450
TATAPOWER,2026-02-23,378.00,379.00,381.55,376.80,378.30,379.25,378.85,3229333,50351
TATAPOWER,2026-02-20,369.30,369.30,379.20,369.25,376.80,378.00,375.67,2844023,37168
TATAPOWER,2026-02-19,379.60,379.50,381.75,368.30,370.00,369.30,372.79,3203557,40669
TATAPOWER,2026-02-18,378.40,378.40,382.15,377.95,378.35,379.60,379.97,2150233,35506
TATAPOWER,2026-02-17,382.10,381.40,384.10,377.00,377.70,378.40,379.66,3799013,39105
TATAPOWER,2026-02-16,374.10,372.00,384.25,370.90,381.85,382.10,379.65,3884952,47518
