symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2026-03-30,191.6,189.99,191.63,186.5,187,187.64,189.19,27946986,173625
WIPRO,2026-03-27,189.05,189.05,192.29,187.9,191.35,191.6,190.92,26269256,192286
WIPRO,2026-03-25,188.74,189,190.62,187.9,189.18,189.05,189.5,13862888,109586
WIPRO,2026-03-24,187.54,191.5,191.5,187.8,188.94,188.74,189.31,11843191,110863
WIPRO,2026-03-23,190.9,189.41,190.62,187,187.6,187.54,188.66,12014988,120117
WIPRO,2026-03-20,188.41,191.19,192.3,188.41,190.9,190.9,190.5,24395304,111477
WIPRO,2026-03-19,194.3,191.98,192.79,187.68,188.87,188.41,189.5,13685195,149800
WIPRO,2026-03-18,191.32,193,198,192.69,194.22,194.3,196.02,24529164,144511
WIPRO,2026-03-17,195.11,195,195.11,188.25,191.1,191.32,190.83,21778468,181081
WIPRO,2026-03-16,197.58,196.24,198.29,192.77,194.05,195.11,195.06,12631649,120537
WIPRO,2026-03-13,202.51,200.6,202.07,196.04,197.75,197.58,198.59,12629652,121034
WIPRO,2026-03-12,202.23,201.06,203.8,199.7,201.96,202.51,202.11,19042475,135021
WIPRO,2026-03-11,200.93,202.69,205.95,201.58,201.8,202.23,203,29199002,151769
WIPRO,2026-03-10,198.75,200.5,201.31,197.42,200.99,200.93,199.46,12982340,110516
WIPRO,2026-03-09,195.4,194,199.5,193.03,198.6,198.75,196.93,25862728,128441
WIPRO,2026-03-06,195.68,195.6,198.93,195,196,195.4,196.73,9022914,94511
WIPRO,2026-03-05,195.55,196.4,196.97,193.22,195.8,195.68,194.92,13149281,116136
WIPRO,2026-03-04,198.57,196.01,197.12,194.51,195.11,195.55,195.63,19562075,193797
WIPRO,2026-03-02,200.96,195,200.36,194.7,198.75,198.57,198.37,10486866,161009
WIPRO,2026-02-27,201.08,204,204,200.05,200.98,200.96,201.53,13288519,113529
WIPRO,2026-02-26,201.92,203.71,204.63,199.12,201,201.08,201.45,14378069,155229
WIPRO,2026-02-25,200.14,201.31,205.48,201.31,201.79,201.92,203.23,13979068,140141
