symbol,trade_date,prev_close,open_price,high_price,low_price,close_price,avg_price,volume,no_of_trades
RELIANCE,3/13/2026,1392.2,1385.2,1400.8,1378.4,1380.7,1388.25,17265090,315335
RELIANCE,3/12/2026,1390.2,1390,1410.9,1381.1,1392.2,1397.56,20939959,370385
RELIANCE,3/11/2026,1408.8,1424.9,1434,1383.6,1390.2,1402.95,21848087,358595
RELIANCE,3/10/2026,1424,1430.6,1431.5,1400.6,1408.8,1410.92,18071259,266712
RELIANCE,3/9/2026,1404.8,1375,1429.4,1370,1424,1404.08,24870822,363998
RELIANCE,3/6/2026,1389.4,1396.5,1424.3,1390.3,1404.8,1412.87,19311971,291792
RELIANCE,3/5/2026,1345,1353.1,1399,1353.1,1389.4,1383.03,25957532,339169
RELIANCE,3/4/2026,1358,1330,1352.8,1307,1345,1334.6,32495007,643399
RELIANCE,3/2/2026,1393.9,1375.5,1378.6,1341.5,1358,1358.19,23728722,384813
RELIANCE,2/27/2026,1406.8,1398,1410.4,1388.1,1393.9,1397.46,12031440,195405
RELIANCE,2/26/2026,1398.5,1398.5,1412.9,1391.9,1406.8,1404.01,16683858,242404
RELIANCE,2/25/2026,1428.8,1435,1440.5,1393.5,1398.5,1414.07,10728792,204165
RELIANCE,2/24/2026,1428,1425.3,1433.3,1415,1428.8,1424.96,12529409,196324
RELIANCE,2/23/2026,1419.4,1425,1434.9,1418.3,1428,1425.5,7758856,140217
RELIANCE,2/20/2026,1409.5,1409.5,1427.4,1406.1,1419.4,1420,8177670,161489
RELIANCE,2/19/2026,1441.3,1443,1443,1400,1409.5,1415.94,11884664,221944
RELIANCE,2/18/2026,1423,1427,1442.1,1419.2,1441.3,1432.14,5521096,121784
RELIANCE,2/17/2026,1437.1,1431.1,1431.8,1418.6,1423,1423.1,10731630,189670
RELIANCE,2/16/2026,1419.6,1420.1,1439.6,1409.3,1437.1,1426.07,5896514,160094
RELIANCE,2/13/2026,1448.9,1445.5,1450.7,1416.3,1419.6,1423.73,10755693,182348
RELIANCE,2/12/2026,1468.7,1470,1473,1445.5,1448.9,1453.64,11135399,195451
RELIANCE,2/11/2026,1458.5,1459.6,1470,1453.6,1468.7,1465.14,7106877,200342
RELIANCE,2/10/2026,1461.6,1471,1471,1452.2,1458.5,1459.23,10259630,181163
RELIANCE,2/9/2026,1450.8,1458,1465.9,1453,1461.6,1462.26,5775864,127171
RELIANCE,2/6/2026,1443.4,1441.5,1452.8,1433.5,1450.8,1442.78,8277304,133331
RELIANCE,2/5/2026,1456.8,1457,1461.5,1439.5,1443.4,1444.91,11763658,206465
RELIANCE,2/4/2026,1437.1,1444,1464,1440.3,1456.8,1455.35,8333387,189873
RELIANCE,2/3/2026,1390.4,1473.9,1489.5,1430.2,1437.1,1445.7,25456171,360494
RELIANCE,2/2/2026,1347,1340,1392.9,1335.5,1390.4,1373.27,15711165,379997
RELIANCE,2/1/2026,1395.4,1396,1411,1335,1347,1377.13,9714528,236369
RELIANCE,1/30/2026,1391,1382.6,1398,1378.5,1395.4,1391.25,11239835,159638
